user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,96,74,0.0,0.3794449187499999
True,piano,96,72,0.4000004999999999,0.5261117687499999
True,piano,96,72,0.5333339999999999,0.6594452687499999
False,piano,96,39,0.5333339999999999,0.7861120937499998
False,piano,96,51,0.5333339999999999,0.7861120937499998
True,piano,96,70,0.6666674999999999,0.7927787687499999
True,piano,96,70,0.8000009999999999,1.05277909375
False,piano,96,55,0.8000009999999999,1.0127790437499997
False,piano,96,58,0.8000009999999999,1.0127790437499997
False,piano,96,62,0.8000009999999999,1.0127790437499997
False,piano,96,46,1.0666679999999997,1.3194460937499997
True,piano,96,72,1.3333349999999997,1.4594462687499998
False,piano,96,55,1.3333349999999997,1.5461130437499997
False,piano,96,58,1.3333349999999997,1.5461130437499997
False,piano,96,62,1.3333349999999997,1.5461130437499997
True,piano,96,74,1.4666684999999997,1.5927797687499996
True,piano,96,72,1.6000019999999997,1.7261132687499996
False,piano,96,39,1.6000019999999997,1.8527800937499996
False,piano,96,51,1.6000019999999997,1.8527800937499996
True,piano,96,70,1.7333354999999997,1.8594467687499996
True,piano,96,70,1.8666689999999997,1.9927802687499996
False,piano,96,54,1.8666689999999997,2.0794470437499997
False,piano,96,58,1.8666689999999997,2.0794470437499997
False,piano,96,63,1.8666689999999997,2.0794470437499997
True,piano,96,65,2.0000024999999995,2.12611376875
True,piano,96,67,2.1333359999999995,2.5127809187499994
True,piano,96,79,2.1333359999999995,2.5127809187499994
False,piano,96,46,2.1333359999999995,2.3861140937499994
False,piano,96,54,2.4000029999999994,2.6127810437499996
False,piano,96,58,2.4000029999999994,2.6127810437499996
False,piano,96,63,2.4000029999999994,2.6127810437499996
True,piano,96,65,2.5333364999999994,2.6594477687499993
True,piano,96,77,2.5333364999999994,2.6594477687499993
True,piano,96,65,2.6666699999999994,2.9194480937499994
True,piano,96,77,2.6666699999999994,2.9194480937499994
False,piano,96,38,2.6666699999999994,2.9194480937499994
False,piano,96,50,2.6666699999999994,2.9194480937499994
True,piano,96,70,2.9333369999999994,3.1861150937499993
False,piano,96,53,2.9333369999999994,3.1194483437499994
False,piano,96,57,2.9333369999999994,3.1194483437499994
False,piano,96,60,2.9333369999999994,3.1194483437499994
True,piano,96,72,3.2000039999999994,3.5794489187499994
True,piano,96,84,3.2000039999999994,3.5794489187499994
False,piano,96,53,3.2000039999999994,3.3861153437499993
False,piano,96,57,3.2000039999999994,3.3861153437499993
False,piano,96,60,3.2000039999999994,3.3861153437499993
False,piano,96,53,3.4666709999999994,3.6527823437499993
False,piano,96,57,3.4666709999999994,3.6527823437499993
False,piano,96,60,3.4666709999999994,3.6527823437499993
True,piano,96,70,3.6000044999999994,3.7261157687499993
True,piano,96,82,3.6000044999999994,3.7261157687499993
True,piano,96,70,3.7333379999999994,3.9861160937499993
True,piano,96,82,3.7333379999999994,3.9861160937499993
False,piano,96,37,3.7333379999999994,3.9861160937499993
False,piano,96,49,3.7333379999999994,3.9861160937499993
True,piano,96,77,4.000004999999999,4.252783093749999
False,piano,96,53,4.000004999999999,4.186116343749999
False,piano,96,56,4.000004999999999,4.186116343749999
False,piano,96,60,4.000004999999999,4.186116343749999
True,piano,96,77,4.266671999999999,4.519450093749999
True,piano,96,89,4.266671999999999,4.519450093749999
False,piano,96,53,4.266671999999999,4.452783343749999
